Clinic,Date,Ailment,Attendance,MedicationUsed,MedicationStock,StockAdequacy
Pumwani Maternity Hospital,2024-01-24,Skin Infection,370,48,711,Adequate
Pumwani Maternity Hospital,2024-01-24,Pneumonia,318,123,456,Adequate
Pumwani Maternity Hospital,2024-01-25,Malaria,52,19,199,Adequate
Pumwani Maternity Hospital,2024-01-25,Flu,319,81,322,Adequate
Pumwani Maternity Hospital,2024-01-25,Typhoid,279,28,541,Adequate
Pumwani Maternity Hospital,2024-01-25,Respiratory Infection,125,30,424,Adequate
Pumwani Maternity Hospital,2024-01-25,Diarrhea,33,25,435,Adequate
Pumwani Maternity Hospital,2024-01-25,Skin Infection,276,11,596,Adequate
Pumwani Maternity Hospital,2024-01-25,Pneumonia,189,120,763,Adequate
Pumwani Maternity Hospital,2024-01-26,Malaria,207,44,479,Adequate
Pumwani Maternity Hospital,2024-01-26,Flu,62,62,790,Adequate
Pumwani Maternity Hospital,2024-01-26,Typhoid,130,21,676,Adequate
Pumwani Maternity Hospital,2024-01-26,Respiratory Infection,197,103,142,Adequate
Pumwani Maternity Hospital,2024-01-26,Diarrhea,73,38,496,Adequate
Pumwani Maternity Hospital,2024-01-26,Skin Infection,41,104,401,Adequate
Pumwani Maternity Hospital,2024-01-26,Pneumonia,282,144,134,Low
Pumwani Maternity Hospital,2024-01-27,Malaria,244,90,189,Adequate
Pumwani Maternity Hospital,2024-01-27,Flu,293,122,701,Adequate
Pumwani Maternity Hospital,2024-01-27,Typhoid,144,114,295,Adequate
Pumwani Maternity Hospital,2024-01-27,Respiratory Infection,343,146,725,Adequate
Pumwani Maternity Hospital,2024-01-27,Diarrhea,104,38,475,Adequate
Pumwani Maternity Hospital,2024-01-27,Skin Infection,246,30,775,Adequate
Pumwani Maternity Hospital,2024-01-27,Pneumonia,386,102,291,Adequate
Pumwani Maternity Hospital,2024-01-28,Malaria,256,58,198,Adequate
Pumwani Maternity Hospital,2024-01-28,Flu,65,111,195,Adequate
Pumwani Maternity Hospital,2024-01-28,Typhoid,181,32,289,Adequate
Pumwani Maternity Hospital,2024-01-28,Respiratory Infection,253,66,468,Adequate
Pumwani Maternity Hospital,2024-01-28,Diarrhea,212,22,378,Adequate
Pumwani Maternity Hospital,2024-01-28,Skin Infection,246,108,372,Adequate
Pumwani Maternity Hospital,2024-01-28,Pneumonia,398,91,695,Adequate
Pumwani Maternity Hospital,2024-01-29,Malaria,397,98,441,Adequate
Pumwani Maternity Hospital,2024-01-29,Flu,216,48,276,Adequate
Pumwani Maternity Hospital,2024-01-29,Typhoid,129,21,544,Adequate
Pumwani Maternity Hospital,2024-01-29,Respiratory Infection,262,48,175,Adequate
Pumwani Maternity Hospital,2024-01-29,Diarrhea,294,80,483,Adequate
Pumwani Maternity Hospital,2024-01-29,Skin Infection,81,92,605,Adequate
Pumwani Maternity Hospital,2024-01-29,Pneumonia,396,45,168,Adequate
Pumwani Maternity Hospital,2024-01-30,Malaria,128,21,124,Adequate
Pumwani Maternity Hospital,2024-01-30,Flu,82,52,243,Adequate
Pumwani Maternity Hospital,2024-01-30,Typhoid,86,48,208,Adequate
Pumwani Maternity Hospital,2024-01-30,Respiratory Infection,210,71,285,Adequate
Pumwani Maternity Hospital,2024-01-30,Diarrhea,252,14,262,Adequate
Pumwani Maternity Hospital,2024-01-30,Skin Infection,244,102,334,Adequate
Pumwani Maternity Hospital,2024-01-30,Pneumonia,360,47,687,Adequate
Pumwani Maternity Hospital,2024-01-31,Malaria,38,83,591,Adequate
Pumwani Maternity Hospital,2024-01-31,Flu,282,131,618,Adequate
Pumwani Maternity Hospital,2024-01-31,Typhoid,203,22,267,Adequate
Pumwani Maternity Hospital,2024-01-31,Respiratory Infection,199,38,733,Adequate
Pumwani Maternity Hospital,2024-01-31,Diarrhea,223,14,128,Adequate
Pumwani Maternity Hospital,2024-01-31,Skin Infection,194,47,438,Adequate
Pumwani Maternity Hospital,2024-01-31,Pneumonia,165,141,464,Adequate
Pumwani Maternity Hospital,2024-02-01,Malaria,350,95,599,Adequate
Pumwani Maternity Hospital,2024-02-01,Flu,174,100,316,Adequate
Pumwani Maternity Hospital,2024-02-01,Typhoid,330,13,169,Adequate
Pumwani Maternity Hospital,2024-02-01,Respiratory Infection,281,60,544,Adequate
Pumwani Maternity Hospital,2024-02-01,Diarrhea,393,63,266,Adequate
Pumwani Maternity Hospital,2024-02-01,Skin Infection,120,83,630,Adequate
Pumwani Maternity Hospital,2024-02-01,Pneumonia,68,96,272,Adequate
Pumwani Maternity Hospital,2024-02-02,Malaria,170,101,737,Adequate
Pumwani Maternity Hospital,2024-02-02,Flu,87,49,575,Adequate
Pumwani Maternity Hospital,2024-02-02,Typhoid,346,114,100,Low
Pumwani Maternity Hospital,2024-02-02,Respiratory Infection,377,91,604,Adequate
Pumwani Maternity Hospital,2024-02-02,Diarrhea,220,34,216,Adequate
Pumwani Maternity Hospital,2024-02-02,Skin Infection,163,67,655,Adequate
Pumwani Maternity Hospital,2024-02-02,Pneumonia,202,61,272,Adequate
Pumwani Maternity Hospital,2024-02-03,Malaria,346,56,248,Adequate
Pumwani Maternity Hospital,2024-02-03,Flu,109,147,312,Adequate
Pumwani Maternity Hospital,2024-02-03,Typhoid,232,110,775,Adequate
Pumwani Maternity Hospital,2024-02-03,Respiratory Infection,256,48,631,Adequate
Pumwani Maternity Hospital,2024-02-03,Diarrhea,76,114,404,Adequate
Pumwani Maternity Hospital,2024-02-03,Skin Infection,43,24,514,Adequate
Pumwani Maternity Hospital,2024-02-03,Pneumonia,30,146,665,Adequate
Pumwani Maternity Hospital,2024-02-04,Malaria,288,25,570,Adequate
Pumwani Maternity Hospital,2024-02-04,Flu,41,103,457,Adequate
Pumwani Maternity Hospital,2024-02-04,Typhoid,185,17,221,Adequate
Pumwani Maternity Hospital,2024-02-04,Respiratory Infection,377,65,189,Adequate
Pumwani Maternity Hospital,2024-02-04,Diarrhea,165,67,415,Adequate
Pumwani Maternity Hospital,2024-02-04,Skin Infection,207,37,140,Adequate
Pumwani Maternity Hospital,2024-02-04,Pneumonia,257,93,601,Adequate
Pumwani Maternity Hospital,2024-02-05,Malaria,174,82,560,Adequate
Pumwani Maternity Hospital,2024-02-05,Flu,249,141,657,Adequate
Pumwani Maternity Hospital,2024-02-05,Typhoid,64,15,693,Adequate
Pumwani Maternity Hospital,2024-02-05,Respiratory Infection,285,98,549,Adequate
Pumwani Maternity Hospital,2024-02-05,Diarrhea,39,65,341,Adequate
Pumwani Maternity Hospital,2024-02-05,Skin Infection,280,118,104,Low
Pumwani Maternity Hospital,2024-02-05,Pneumonia,148,149,473,Adequate
Pumwani Maternity Hospital,2024-02-06,Malaria,94,27,323,Adequate
Pumwani Maternity Hospital,2024-02-06,Flu,268,78,381,Adequate
Pumwani Maternity Hospital,2024-02-06,Typhoid,92,98,788,Adequate
Pumwani Maternity Hospital,2024-02-06,Respiratory Infection,127,134,198,Adequate
Pumwani Maternity Hospital,2024-02-06,Diarrhea,340,15,575,Adequate
Pumwani Maternity Hospital,2024-02-06,Skin Infection,226,104,744,Adequate
Pumwani Maternity Hospital,2024-02-06,Pneumonia,387,32,536,Adequate
Pumwani Maternity Hospital,2024-02-07,Malaria,52,110,664,Adequate
Pumwani Maternity Hospital,2024-02-07,Flu,194,103,557,Adequate
Pumwani Maternity Hospital,2024-02-07,Typhoid,112,26,184,Adequate
Pumwani Maternity Hospital,2024-02-07,Respiratory Infection,107,102,100,Low
Pumwani Maternity Hospital,2024-02-07,Diarrhea,80,54,545,Adequate
Pumwani Maternity Hospital,2024-02-07,Skin Infection,398,113,133,Adequate
Pumwani Maternity Hospital,2024-02-07,Pneumonia,377,124,171,Adequate
Pumwani Maternity Hospital,2024-02-08,Malaria,68,35,349,Adequate
Pumwani Maternity Hospital,2024-02-08,Flu,191,83,217,Adequate
Pumwani Maternity Hospital,2024-02-08,Typhoid,288,59,367,Adequate
Pumwani Maternity Hospital,2024-02-08,Respiratory Infection,83,137,488,Adequate
Pumwani Maternity Hospital,2024-02-08,Diarrhea,251,66,500,Adequate
Pumwani Maternity Hospital,2024-02-08,Skin Infection,141,56,306,Adequate
Pumwani Maternity Hospital,2024-02-08,Pneumonia,258,114,677,Adequate
Pumwani Maternity Hospital,2024-02-09,Malaria,104,60,202,Adequate
Pumwani Maternity Hospital,2024-02-09,Flu,221,127,405,Adequate
Pumwani Maternity Hospital,2024-02-09,Typhoid,127,91,434,Adequate
Pumwani Maternity Hospital,2024-02-09,Respiratory Infection,376,80,546,Adequate
Pumwani Maternity Hospital,2024-02-09,Diarrhea,337,47,580,Adequate
Pumwani Maternity Hospital,2024-02-09,Skin Infection,364,39,205,Adequate
Pumwani Maternity Hospital,2024-02-09,Pneumonia,80,110,232,Adequate
Pumwani Maternity Hospital,2024-02-10,Malaria,314,13,237,Adequate
Pumwani Maternity Hospital,2024-02-10,Flu,213,46,429,Adequate
Pumwani Maternity Hospital,2024-02-10,Typhoid,302,93,168,Adequate
Pumwani Maternity Hospital,2024-02-10,Respiratory Infection,63,35,152,Adequate
Pumwani Maternity Hospital,2024-02-10,Diarrhea,234,116,142,Adequate
Pumwani Maternity Hospital,2024-02-10,Skin Infection,269,84,210,Adequate
Pumwani Maternity Hospital,2024-02-10,Pneumonia,278,52,282,Adequate
Pumwani Maternity Hospital,2024-02-11,Malaria,365,104,473,Adequate
Pumwani Maternity Hospital,2024-02-11,Flu,37,33,459,Adequate
Pumwani Maternity Hospital,2024-02-11,Typhoid,213,34,294,Adequate
Pumwani Maternity Hospital,2024-02-11,Respiratory Infection,381,96,766,Adequate
Pumwani Maternity Hospital,2024-02-11,Diarrhea,122,41,160,Adequate
Pumwani Maternity Hospital,2024-02-11,Skin Infection,151,60,502,Adequate
Pumwani Maternity Hospital,2024-02-11,Pneumonia,306,34,565,Adequate
Pumwani Maternity Hospital,2024-02-12,Malaria,121,51,633,Adequate
Pumwani Maternity Hospital,2024-02-12,Flu,355,30,744,Adequate
Pumwani Maternity Hospital,2024-02-12,Typhoid,262,21,445,Adequate
Pumwani Maternity Hospital,2024-02-12,Respiratory Infection,75,63,177,Adequate
Pumwani Maternity Hospital,2024-02-12,Diarrhea,247,54,172,Adequate
Pumwani Maternity Hospital,2024-02-12,Skin Infection,311,56,220,Adequate
Pumwani Maternity Hospital,2024-02-12,Pneumonia,243,140,155,Adequate
Pumwani Maternity Hospital,2024-02-13,Malaria,379,116,147,Adequate
Pumwani Maternity Hospital,2024-02-13,Flu,90,110,125,Adequate
Pumwani Maternity Hospital,2024-02-13,Typhoid,321,10,107,Adequate
Pumwani Maternity Hospital,2024-02-13,Respiratory Infection,142,128,352,Adequate
Pumwani Maternity Hospital,2024-02-13,Diarrhea,209,88,402,Adequate
Pumwani Maternity Hospital,2024-02-13,Skin Infection,156,65,625,Adequate
Pumwani Maternity Hospital,2024-02-13,Pneumonia,57,116,177,Adequate
Pumwani Maternity Hospital,2024-02-14,Malaria,245,11,464,Adequate
Pumwani Maternity Hospital,2024-02-14,Flu,183,43,798,Adequate
Pumwani Maternity Hospital,2024-02-14,Typhoid,341,16,102,Adequate
Pumwani Maternity Hospital,2024-02-14,Respiratory Infection,140,52,462,Adequate
Pumwani Maternity Hospital,2024-02-14,Diarrhea,268,118,373,Adequate
Pumwani Maternity Hospital,2024-02-14,Skin Infection,323,108,114,Adequate
Pumwani Maternity Hospital,2024-02-14,Pneumonia,221,118,730,Adequate
Pumwani Maternity Hospital,2024-02-15,Malaria,57,83,138,Adequate
Pumwani Maternity Hospital,2024-02-15,Flu,302,132,185,Adequate
Pumwani Maternity Hospital,2024-02-15,Typhoid,155,53,636,Adequate
Pumwani Maternity Hospital,2024-02-15,Respiratory Infection,174,42,311,Adequate
Pumwani Maternity Hospital,2024-02-15,Diarrhea,54,77,493,Adequate
Pumwani Maternity Hospital,2024-02-15,Skin Infection,96,114,208,Adequate
Pumwani Maternity Hospital,2024-02-15,Pneumonia,175,140,327,Adequate
Pumwani Maternity Hospital,2024-02-16,Malaria,140,95,133,Adequate
Pumwani Maternity Hospital,2024-02-16,Flu,140,37,468,Adequate
Pumwani Maternity Hospital,2024-02-16,Typhoid,265,92,653,Adequate
Pumwani Maternity Hospital,2024-02-16,Respiratory Infection,130,35,791,Adequate
Pumwani Maternity Hospital,2024-02-16,Diarrhea,311,73,542,Adequate
Pumwani Maternity Hospital,2024-02-16,Skin Infection,344,118,476,Adequate
Pumwani Maternity Hospital,2024-02-16,Pneumonia,318,82,761,Adequate
Pumwani Maternity Hospital,2024-02-17,Malaria,306,79,681,Adequate
Pumwani Maternity Hospital,2024-02-17,Flu,141,33,449,Adequate
Pumwani Maternity Hospital,2024-02-17,Typhoid,360,71,449,Adequate
Pumwani Maternity Hospital,2024-02-17,Respiratory Infection,124,53,236,Adequate
Pumwani Maternity Hospital,2024-02-17,Diarrhea,276,12,342,Adequate
Pumwani Maternity Hospital,2024-02-17,Skin Infection,60,49,328,Adequate
Pumwani Maternity Hospital,2024-02-17,Pneumonia,65,53,322,Adequate
Pumwani Maternity Hospital,2024-02-18,Malaria,35,75,567,Adequate
Pumwani Maternity Hospital,2024-02-18,Flu,249,104,103,Low
Pumwani Maternity Hospital,2024-02-18,Typhoid,364,15,217,Adequate
Pumwani Maternity Hospital,2024-02-18,Respiratory Infection,398,123,603,Adequate
Pumwani Maternity Hospital,2024-02-18,Diarrhea,91,66,293,Adequate
Pumwani Maternity Hospital,2024-02-18,Skin Infection,364,84,491,Adequate
Pumwani Maternity Hospital,2024-02-18,Pneumonia,55,80,272,Adequate
Pumwani Maternity Hospital,2024-02-19,Malaria,329,14,425,Adequate
Pumwani Maternity Hospital,2024-02-19,Flu,147,97,324,Adequate
Pumwani Maternity Hospital,2024-02-19,Typhoid,49,21,658,Adequate
Pumwani Maternity Hospital,2024-02-19,Respiratory Infection,30,119,753,Adequate
Pumwani Maternity Hospital,2024-02-19,Diarrhea,349,47,238,Adequate
Pumwani Maternity Hospital,2024-02-19,Skin Infection,385,86,358,Adequate
Pumwani Maternity Hospital,2024-02-19,Pneumonia,190,35,789,Adequate
Pumwani Maternity Hospital,2024-02-20,Malaria,39,14,749,Adequate
Pumwani Maternity Hospital,2024-02-20,Flu,201,31,112,Adequate
Pumwani Maternity Hospital,2024-02-20,Typhoid,197,11,695,Adequate
Pumwani Maternity Hospital,2024-02-20,Respiratory Infection,350,92,712,Adequate
Pumwani Maternity Hospital,2024-02-20,Diarrhea,358,26,649,Adequate
Pumwani Maternity Hospital,2024-02-20,Skin Infection,123,104,680,Adequate
Pumwani Maternity Hospital,2024-02-20,Pneumonia,347,89,335,Adequate
Pumwani Maternity Hospital,2024-02-21,Malaria,363,84,236,Adequate
Pumwani Maternity Hospital,2024-02-21,Flu,105,128,646,Adequate
Pumwani Maternity Hospital,2024-02-21,Typhoid,30,49,419,Adequate
Pumwani Maternity Hospital,2024-02-21,Respiratory Infection,89,93,448,Adequate
Pumwani Maternity Hospital,2024-02-21,Diarrhea,357,20,328,Adequate
